date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:13	9226/9226	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:22:56%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=36	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index9f31.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=2)
20:20:15	9178/9178	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:22:57%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=37	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index95d7.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=2)
20:20:16	9768/9768	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:22:59%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=19	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexe2b7.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=6)
20:20:18	13948/13948	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:00%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=30	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index6239.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=6)
20:20:19	9998/9998	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:02%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=11	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index03e1.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=7)
20:20:21	10572/10572	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:03%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=14	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexe051.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=7)
20:20:23	16260/16260	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:05%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=15	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexdddd.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=7)
20:20:24	16093/16093	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:07%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=43	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexb287.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=7)
20:20:26	10588/10588	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:08%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=16	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexcb2e.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=7)
20:20:27	13155/13155	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:10%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=23	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index1677.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=7)
